Location,prov,Longitude,Latitude,HDD (NBCC),HDD (degC-day),CF_0.5C (degC-day),CF_1.0C (degC-day),CF_1.5C (degC-day),CF_2.0C (degC-day),CF_2.5C (degC-day),CF_3.0C (degC-day),CF_3.5C (degC-day)
Cowansville,QC,-72.75,45.2,4540,4560,-250,-430,-610,-790,-980,-1130,-1280
Deux-Montagnes,QC,-73.88,45.53,4440,4520,-270,-460,-660,-860,-1060,-1220,-1370
Dolbeau,QC,-72.23,48.88,6250,6025,-300,-530,-770,-1010,-1250,-1450,-1640
Drummondville,QC,-72.48,45.88,4700,4710,-260,-460,-660,-860,-1060,-1220,-1380
Farnham,QC,-72.98,45.28,4500,4485,-240,-420,-600,-780,-970,-1120,-1270
Fort-Coulonge,QC,-76.73,45.85,4950,4910,-260,-450,-640,-840,-1040,-1200,-1370
Gagnon,QC,-68.17,51.93,7600,7535,-340,-600,-870,-1140,-1420,-1650,-1890
Gaspé,QC,-64.48,48.83,5500,5440,-290,-520,-750,-970,-1200,-1400,-1590
Gatineau,QC,-75.65,45.5,4600,4720,-260,-450,-640,-840,-1030,-1190,-1350
Gracefield,QC,-76.05,46.1,5080,5095,-260,-450,-660,-860,-1070,-1230,-1400
Granby,QC,-72.73,45.4,4500,4545,-250,-430,-610,-800,-990,-1140,-1290
Harrington-Harbour,QC,-59.48,50.5,6150,6010,-360,-640,-910,-1180,-1460,-1700,-1930
Havre-St-Pierre,QC,-63.6,50.23,6100,6200,-330,-590,-840,-1090,-1340,-1550,-1770
Hemmingford,QC,-73.58,45.05,4380,4330,-240,-410,-590,-760,-940,-1090,-1230
Hull,QC,-75.73,45.43,4550,4585,-260,-440,-630,-830,-1020,-1180,-1330
Iberville,QC,-73.23,45.35,4450,4480,-260,-450,-640,-830,-1020,-1180,-1330
Inukjuak,QC,-78.1,58.48,9150,8850,-500,-880,-1290,-1720,-2180,-2550,-2920
Joliette,QC,-73.45,46.02,4720,4725,-270,-470,-670,-880,-1080,-1250,-1410
Kuujjuaq,QC,-68.4,58.1,8550,8355,-430,-760,-1090,-1440,-1810,-2140,-2460
Kuujjuarapik,QC,-77.75,55.28,7990,7855,-470,-810,-1190,-1580,-1980,-2290,-2590
La Pocatière,QC,-70.04,47.37,5160,5365,-280,-490,-700,-920,-1140,-1320,-1500
Lachute,QC,-74.33,45.65,4640,4705,-260,-450,-650,-850,-1050,-1220,-1380
Lac-Mégantic,QC,-70.88,45.58,5180,5210,-270,-470,-680,-880,-1090,-1270,-1440
La-Malbaie,QC,-70.15,47.65,5400,5465,-290,-510,-730,-950,-1180,-1370,-1560
La-Tuque,QC,-72.78,47.43,5500,5580,-280,-490,-710,-930,-1150,-1340,-1520
Lennoxville,QC,-71.85,45.37,4700,4875,-250,-440,-630,-820,-1020,-1180,-1330
Léry,QC,-73.8,45.35,4420,4400,-260,-440,-630,-820,-1020,-1170,-1320
Loretteville,QC,-71.35,46.85,5200,5055,-280,-490,-710,-920,-1150,-1320,-1500
Louiseville,QC,-72.95,46.25,4900,4950,-270,-480,-690,-910,-1120,-1290,-1470
Magog,QC,-72.13,45.27,4730,4775,-250,-430,-620,-800,-990,-1150,-1310
Malartic,QC,-78.13,48.13,6200,6070,-300,-520,-760,-1000,-1250,-1450,-1640
Maniwaki,QC,-75.97,46.38,5280,5225,-270,-470,-680,-890,-1110,-1280,-1460
Masson,QC,-75.417,45.533,4610,4780,-260,-450,-650,-840,-1040,-1200,-1360
Matane,QC,-67.53,48.85,5510,5575,-310,-540,-780,-1010,-1260,-1460,-1660
Mont-Joli,QC,-68.18,48.58,5370,5520,-310,-540,-780,-1020,-1260,-1460,-1660
Mont-Laurier,QC,-75.5,46.55,5320,5400,-280,-480,-700,-910,-1130,-1310,-1490
Montmagny,QC,-70.55,46.98,5090,5160,-270,-480,-690,-900,-1120,-1300,-1480
Beaconsfield,QC,-73.87,45.43,4440,4430,-260,-450,-650,-850,-1050,-1200,-1360
Dorval,QC,-73.75,45.45,4400,4390,-260,-450,-650,-840,-1040,-1200,-1350
Laval,QC,-73.75,45.58,4500,4485,-260,-460,-650,-850,-1050,-1210,-1370
Montréal (city hall),QC,-73.554,45.509,4200,4385,-260,-450,-650,-840,-1030,-1190,-1350
Montréal-Est,QC,-73.52,45.63,4470,4510,-260,-450,-650,-840,-1040,-1200,-1350
Montréal-Nord,QC,-73.63,45.6,4470,4470,-260,-450,-650,-850,-1040,-1200,-1360
Outremont,QC,-73.62,45.52,4300,4400,-260,-450,-650,-840,-1040,-1200,-1350
Pierrefonds,QC,-73.87,45.48,4430,4435,-260,-460,-650,-850,-1050,-1210,-1370
St-Lambert,QC,-73.5,45.5,4400,4420,-260,-450,-640,-840,-1030,-1180,-1340
St-Laurent,QC,-73.67,45.5,4270,4350,-260,-450,-650,-840,-1040,-1190,-1350
Ste-Anne-de-Bellevue,QC,-73.93,45.42,4460,4475,-260,-450,-650,-840,-1040,-1190,-1350
Verdun,QC,-73.57,45.45,4200,4390,-260,-450,-640,-830,-1030,-1180,-1330
Nicolet (Gentilly),QC,-72.28,46.4,4900,5035,-270,-470,-690,-900,-1110,-1280,-1450
Nitchequon,QC,-70.91,53.21,8100,7770,-360,-630,-910,-1200,-1500,-1750,-1990
Noranda,QC,-79.02,48.25,6050,6070,-300,-520,-750,-990,-1240,-1430,-1630
Percé,QC,-64.22,48.53,5400,5605,-290,-510,-720,-930,-1140,-1320,-1510
Pincourt,QC,-73.98,45.38,4480,4455,-260,-450,-640,-830,-1030,-1180,-1340
