Location,prov,Longitude,Latitude,HDD (NBCC),HDD (degC-day),CF_0.5C (degC-day),CF_1.0C (degC-day),CF_1.5C (degC-day),CF_2.0C (degC-day),CF_2.5C (degC-day),CF_3.0C (degC-day),CF_3.5C (degC-day)
100 Mile House,BC,-121.283,51.65,5030,5030,-240,-450,-680,-890,-1100,-1280,-1470
Abbotsford,BC,-122.329,49.052,2860,2860,-220,-410,-600,-760,-920,-1060,-1200
Agassiz,BC,-121.77,49.23,2750,2885,-230,-440,-640,-820,-1000,-1160,-1320
Alberni,BC,-124.8,49.27,3100,3080,-220,-410,-600,-770,-930,-1080,-1220
Ashcroft,BC,-121.28,50.72,3700,4520,-220,-420,-630,-810,-1010,-1180,-1360
Bamfield,BC,-125.13,48.83,3080,3070,-200,-390,-560,-720,-880,-1020,-1160
Beatton River,BC,-121.4,57.38,6300,6275,-280,-510,-740,-960,-1170,-1370,-1570
Bella Bella,BC,-128.14,52.16,3180,3125,-230,-450,-660,-850,-1030,-1190,-1360
Bella Coola,BC,-126.75,52.37,3560,3580,-290,-550,-810,-1060,-1290,-1520,-1740
Burns Lake,BC,-125.75,54.23,5450,5525,-270,-510,-750,-970,-1200,-1410,-1620
Cache Creek,BC,-121.32,50.8,3700,4600,-240,-440,-660,-860,-1060,-1250,-1440
Campbell River,BC,-125.24,50.02,3000,2975,-230,-430,-620,-800,-970,-1120,-1280
Carmi,BC,-119.12,49.5,4750,3825,-250,-470,-700,-910,-1120,-1320,-1520
Castlegar,BC,-117.67,49.32,3580,3585,-220,-410,-610,-790,-980,-1150,-1310
Chetwynd,BC,-121.63,55.7,5500,5490,-270,-490,-710,-920,-1130,-1320,-1510
Chilliwack,BC,-121.95,49.167,2780,2795,-230,-430,-630,-800,-970,-1120,-1270
Comox,BC,-124.93,49.68,2930,2975,-220,-420,-610,-780,-950,-1100,-1260
Courtenay,BC,-124.98,49.68,2930,3015,-220,-420,-610,-780,-950,-1100,-1260
Cranbrook,BC,-115.77,49.5,4400,4395,-230,-440,-650,-840,-1040,-1210,-1390
Crescent Valley,BC,-117.55,49.45,3650,3580,-250,-470,-690,-890,-1110,-1300,-1480
Crofton,BC,-123.65,48.87,2880,2790,-210,-400,-580,-750,-920,-1070,-1220
Dawson Creek,BC,-120.23,55.77,5900,5825,-260,-470,-690,-900,-1100,-1280,-1460
Dease Lake ,BC,-130,58.44,6730,6705,-290,-550,-810,-1060,-1310,-1560,-1810
Dog Creek,BC,-122.3,51.58,4800,4750,-220,-410,-600,-790,-970,-1130,-1300
Duncan,BC,-123.7,48.78,2980,2875,-200,-390,-570,-740,-910,-1060,-1210
Elko,BC,-115.12,49.3,4600,4620,-230,-440,-660,-850,-1050,-1230,-1410
Fernie,BC,-115.07,49.5,4750,4805,-250,-470,-700,-910,-1130,-1310,-1500
Fort Nelson,BC,-122.7,58.83,6710,6510,-280,-510,-730,-960,-1170,-1370,-1570
Fort St. John,BC,-120.85,56.25,5750,5830,-270,-500,-720,-940,-1140,-1340,-1540
Glacier,BC,-117.52,51.27,5800,5800,-290,-540,-810,-1060,-1320,-1550,-1790
Gold River ,BC,-126.05,49.78,3230,3265,-230,-430,-630,-810,-990,-1150,-1300
Golden,BC,-116.97,51.3,4750,5215,-270,-510,-760,-980,-1220,-1440,-1650
Grand Forks,BC,-118.45,49.03,3820,3825,-200,-390,-580,-750,-930,-1090,-1250
Greenwood,BC,-118.68,49.1,4100,3835,-230,-430,-640,-820,-1020,-1190,-1370
Hope,BC,-121.44,49.38,2820,3180,-250,-470,-700,-900,-1100,-1280,-1450
Jordan River ,BC,-124.05,48.42,2900,2960,-210,-410,-600,-770,-940,-1100,-1260
Kamloops,BC,-120.32,50.67,3450,3945,-230,-430,-640,-840,-1040,-1230,-1410
Kaslo,BC,-116.92,49.92,3830,3875,-240,-450,-660,-850,-1060,-1240,-1420
Kelowna,BC,-119.48,49.88,3400,3490,-220,-420,-630,-820,-1010,-1180,-1360
Kimberley,BC,-115.98,49.68,4650,4595,-230,-430,-640,-820,-1020,-1190,-1360
Kitimat Plant,BC,-128.63,54.05,3750,3915,-300,-570,-850,-1100,-1340,-1560,-1780
Kitimat Townsite,BC,-128.65,54.07,3900,3910,-310,-590,-860,-1120,-1370,-1590,-1820
Ladysmith,BC,-123.82,48.99,2920,2830,-210,-400,-590,-760,-930,-1090,-1240
Langford,BC,-123.5,48.45,2750,2885,-210,-390,-560,-720,-860,-990,-1120
Lillooet,BC,-121.93,50.68,3400,4620,-240,-440,-650,-840,-1040,-1220,-1400
Lytton,BC,-121.57,50.23,3300,3785,-220,-420,-620,-800,-980,-1150,-1320
Mackenzie,BC,-123.08,55.3,5550,5605,-280,-510,-750,-980,-1210,-1430,-1640
Masset,BC,-132.1,54.02,3700,3475,-240,-460,-680,-880,-1070,-1250,-1430
McBride,BC,-120.17,53.3,4980,4985,-280,-520,-770,-1000,-1240,-1460,-1680
McLeod Lake,BC,-123.03,54.98,5450,5510,-270,-500,-730,-960,-1180,-1380,-1580
Merritt,BC,-120.783,50.1,3900,3845,-240,-450,-660,-860,-1060,-1240,-1420
Mission City,BC,-122.3,49.13,2850,2870,-220,-410,-600,-760,-910,-1050,-1190
Montrose,BC,-117.58,49.08,3600,3540,-220,-420,-630,-810,-1010,-1180,-1350
Nakusp,BC,-117.8,50.23,3560,3985,-240,-460,-680,-870,-1080,-1260,-1450
Nanaimo,BC,-123.93,49.17,2920,2705,-210,-400,-590,-760,-930,-1070,-1220
Nelson,BC,-117.28,49.48,3500,3580,-260,-490,-740,-950,-1180,-1380,-1580
Ocean Falls,BC,-127.7,52.35,3400,3325,-250,-480,-700,-900,-1090,-1270,-1440
Osoyoos,BC,-119.5,49.03,3100,3300,-220,-410,-610,-790,-970,-1150,-1320
Parksville,BC,-124.33,49.32,3200,2960,-210,-390,-560,-720,-880,-1020,-1150
Penticton,BC,-119.58,49.5,3350,3465,-240,-460,-680,-880,-1090,-1290,-1480
Port Alberni,BC,-124.8,49.233,3100,3070,-220,-400,-590,-760,-920,-1070,-1210
Port Alice ,BC,-127.45,50.38,3010,3180,-220,-430,-640,-830,-1010,-1170,-1330
Port Hardy,BC,-127.42,50.7,3440,3440,-230,-430,-640,-820,-990,-1150,-1310
Port McNeill,BC,-127.1,50.58,3410,3360,-230,-440,-640,-830,-1000,-1160,-1310
Port Renfrew ,BC,-124.4,48.56,2900,3065,-210,-410,-600,-780,-940,-1100,-1250
Powell River,BC,-124.52,49.83,3100,3015,-220,-400,-590,-750,-910,-1050,-1190
Prince George,BC,-122.75,53.92,4720,5020,-250,-470,-690,-900,-1110,-1310,-1500
Prince Rupert,BC,-130.32,54.32,3900,3655,-280,-520,-760,-980,-1190,-1380,-1580
Princeton,BC,-120.51,49.5,4250,4110,-230,-440,-650,-840,-1030,-1200,-1380
Qualicum Beach,BC,-124.45,49.35,2990,3120,-200,-380,-550,-700,-850,-990,-1120
Queen Charlotte City,BC,-132.08,53.26,3520,3490,-230,-450,-670,-870,-1060,-1250,-1430
Quesnel,BC,-122.48,52.98,4650,4785,-240,-450,-660,-860,-1060,-1250,-1430
Revelstoke,BC,-118.2,50.98,4000,4360,-280,-530,-800,-1040,-1300,-1530,-1770
Salmon Arm,BC,-119.28,50.7,3650,3990,-240,-450,-670,-870,-1070,-1260,-1450
Sandspit,BC,-131.82,53.25,3450,3385,-230,-450,-670,-870,-1060,-1250,-1430
Sechelt,BC,-123.75,49.47,2680,2730,-210,-390,-570,-730,-880,-1020,-1160
Sidney,BC,-123.4,48.65,2850,2780,-200,-380,-550,-700,-840,-970,-1100
Smith River,BC,-126.43,59.88,7100,6985,-290,-550,-790,-1030,-1260,-1490,-1710
Smithers,BC,-127.167,54.783,5040,5060,-280,-520,-770,-1000,-1230,-1460,-1680
Sooke,BC,-123.72,48.38,2900,3020,-200,-390,-570,-720,-880,-1020,-1150
Squamish,BC,-123.15,49.7,2950,2985,-270,-510,-740,-950,-1150,-1330,-1510
Stewart,BC,-129.98,55.93,4350,4430,-330,-630,-930,-1230,-1520,-1810,-2100
Tahsis,BC,-126.65,49.93,3150,3185,-240,-450,-650,-850,-1030,-1200,-1360
Taylor,BC,-120.69,56.2,5720,5795,-270,-490,-710,-920,-1120,-1320,-1510
Terrace,BC,-128.6,54.52,4150,4090,-280,-540,-800,-1040,-1270,-1480,-1690
Tofino,BC,-125.88,49.12,3150,3080,-210,-410,-600,-770,-940,-1090,-1240
Trail,BC,-117.7,49.1,3600,3550,-220,-420,-620,-800,-990,-1160,-1330
Ucluelet,BC,-125.55,48.93,3120,3030,-200,-390,-580,-740,-900,-1050,-1200
Burnaby (Simon Fraser Univ.),BC,-122.92,49.28,3100,2765,-210,-390,-570,-720,-870,-1010,-1140
Cloverdale,BC,-122.733,49.1,2700,2695,-220,-400,-590,-750,-900,-1040,-1180
Haney,BC,-122.6,49.22,2840,2950,-230,-430,-630,-800,-960,-1100,-1250
Ladner,BC,-123.08,49.08,2600,2695,-190,-360,-530,-680,-820,-950,-1080
Langley,BC,-122.65,49.1,2700,2725,-220,-410,-590,-750,-900,-1040,-1170
New Westminster,BC,-122.92,49.22,2800,2720,-200,-370,-540,-690,-830,-960,-1090
North Vancouver,BC,-123.07,49.32,2910,2680,-220,-410,-590,-760,-920,-1060,-1200
Richmond,BC,-123.1,49.17,2800,2710,-190,-360,-530,-680,-820,-950,-1080
Surrey (88 Ave & 156 St.),BC,-122.79,49.163,2750,2720,-220,-410,-590,-750,-910,-1050,-1180
Vancouver (city hall),BC,-123.12,49.25,2825,2640,-200,-380,-560,-710,-860,-990,-1120
Vancouver (Granville & 41 Ave),BC,-123.14,49.234,2925,2735,-200,-380,-550,-700,-840,-970,-1100
West Vancouver,BC,-123.17,49.33,2950,2710,-220,-420,-610,-780,-940,-1080,-1230
Vernon,BC,-119.27,50.3,3600,3680,-220,-420,-630,-810,-1010,-1180,-1360
Victoria,BC,-123.37,48.43,2650,2815,-210,-390,-570,-730,-880,-1010,-1140
Victoria Gonzales Height,BC,-123.32,48.42,2700,2760,-210,-390,-570,-730,-880,-1010,-1140
Victoria Mt Tolmie,BC,-123.33,48.47,2700,2750,-210,-390,-560,-720,-860,-990,-1120
Whistler ,BC,-122.96,50.12,4180,3970,-290,-550,-820,-1050,-1300,-1520,-1750
White Rock ,BC,-122.8,49.02,2620,2675,-210,-390,-570,-730,-870,-1010,-1140
Williams Lake,BC,-122.15,52.133,4400,4685,-230,-430,-650,-840,-1040,-1220,-1400
Youbou,BC,-124.2,48.88,3050,2980,-220,-420,-610,-790,-970,-1130,-1290
Athabasca,AB,-113.28,54.72,6000,5905,-270,-470,-690,-900,-1100,-1280,-1460
Banff,AB,-115.57,51.17,5500,5710,-270,-490,-730,-950,-1180,-1380,-1580
Barrhead,AB,-114.4,54.13,5740,5595,-260,-460,-670,-870,-1060,-1230,-1400
Beaverlodge,AB,-119.43,55.22,5700,5735,-260,-480,-710,-920,-1120,-1300,-1490
Brooks,AB,-111.88,50.58,4880,4880,-210,-380,-560,-730,-890,-1030,-1160
Calgary,AB,-114.08,51.05,5000,5000,-240,-430,-630,-810,-1000,-1160,-1320
Campsie,AB,-114.65,54.13,5750,5680,-260,-460,-670,-860,-1060,-1230,-1400
Camrose,AB,-112.83,53.02,5500,5505,-260,-460,-670,-860,-1060,-1230,-1400
Canmore,AB,-115.35,51.09,5400,5685,-270,-490,-730,-940,-1170,-1370,-1570
Cardston,AB,-113.3,49.2,4700,4665,-220,-410,-610,-790,-970,-1110,-1260
Claresholm,AB,-113.58,50.03,4680,4685,-210,-400,-590,-760,-930,-1080,-1220
Cold Lake,AB,-110.17,54.45,5860,6055,-270,-480,-700,-910,-1130,-1310,-1500
Coleman,AB,-114.5,49.63,5210,5150,-250,-470,-690,-890,-1110,-1290,-1470
Coronation,AB,-111.45,52.08,5640,5580,-240,-430,-630,-810,-990,-1150,-1300
Cowley,AB,-114.08,49.57,4810,4900,-230,-430,-640,-820,-1020,-1180,-1340
Drumheller,AB,-112.7,51.47,5050,5180,-230,-410,-600,-780,-960,-1110,-1250
Edmonton,AB,-113.47,53.55,5120,5380,-260,-450,-660,-860,-1050,-1220,-1390
Edson,AB,-116.43,53.58,5750,5535,-250,-450,-660,-850,-1040,-1200,-1370
Embarras Portage,AB,-111.47,58.45,7100,6705,-300,-530,-770,-1020,-1270,-1480,-1700
Fairview,AB,-118.38,56.07,5840,5890,-270,-490,-710,-930,-1140,-1320,-1510
Fort MacLeod,AB,-113.42,49.72,4600,4595,-210,-390,-580,-750,-930,-1070,-1210
Fort McMurray,AB,-111.38,56.73,6250,6260,-280,-500,-730,-950,-1170,-1370,-1570
Fort Saskatchewan,AB,-113.22,53.72,5420,5520,-260,-450,-660,-860,-1050,-1220,-1390
Fort Vermilion,AB,-116,58.4,6700,6615,-280,-500,-730,-950,-1170,-1380,-1580
Grande Prairie,AB,-118.8,55.17,5790,5700,-250,-460,-670,-870,-1060,-1230,-1400
Habay,AB,-118.73,58.83,6750,6555,-290,-510,-740,-970,-1180,-1390,-1600
Hardisty,AB,-111.3,52.67,5640,5520,-260,-460,-670,-870,-1060,-1230,-1390
High River,AB,-113.87,50.58,4900,4925,-230,-420,-620,-790,-980,-1130,-1280
Hinton,AB,-117.58,53.4,5500,5505,-250,-470,-690,-890,-1090,-1270,-1450
Jasper,AB,-118.08,52.88,5300,5480,-270,-500,-740,-970,-1190,-1400,-1610
Keg River,AB,-117.62,57.75,6520,6390,-280,-500,-730,-950,-1160,-1350,-1540
Lac la Biche,AB,-111.97,54.77,6100,6000,-260,-470,-690,-890,-1100,-1270,-1450
Lacombe,AB,-113.73,52.47,5500,5405,-250,-450,-650,-830,-1020,-1190,-1350
Lethbridge,AB,-112.82,49.7,4500,4470,-210,-380,-560,-720,-890,-1030,-1160
Manning,AB,-117.62,56.92,6300,6225,-270,-480,-690,-900,-1100,-1290,-1470
Medicine Hat,AB,-110.67,50.05,4540,4775,-200,-360,-540,-700,-870,-1000,-1130
Peace River,AB,-117.28,56.23,6050,5985,-270,-480,-700,-910,-1120,-1310,-1490
Pincher Creek,AB,-113.95,49.48,4740,4855,-230,-430,-630,-820,-1010,-1170,-1340
Ranfurly,AB,-111.68,53.42,5700,5690,-260,-470,-690,-900,-1100,-1280,-1450
Red Deer,AB,-113.8,52.27,5550,5360,-250,-450,-650,-830,-1020,-1180,-1340
Rocky Mountain House,AB,-114.92,52.37,5640,5505,-240,-430,-630,-810,-1000,-1160,-1310
Slave Lake,AB,-114.77,55.28,5850,5920,-270,-480,-690,-900,-1100,-1280,-1460
Stettler,AB,-112.72,52.32,5300,5435,-250,-450,-650,-840,-1030,-1190,-1350
Stony Plain,AB,-114,53.53,5300,5360,-250,-440,-650,-840,-1020,-1190,-1350
Suffield,AB,-111.17,50.2,4770,4730,-200,-360,-540,-700,-870,-1000,-1130
Taber,AB,-112.15,49.78,4580,4550,-200,-370,-540,-700,-860,-990,-1120
Turner Valley,AB,-114.28,50.67,5220,5205,-240,-440,-650,-830,-1030,-1190,-1360
Valleyview,AB,-117.28,55.07,5600,5555,-250,-450,-670,-860,-1050,-1220,-1400
Vegreville,AB,-112.05,53.5,5780,5720,-270,-470,-690,-900,-1110,-1280,-1460
Vermilion,AB,-110.85,53.37,5740,5800,-270,-480,-700,-910,-1120,-1300,-1480
Wagner,AB,-114.98,55.35,5850,5900,-270,-480,-700,-900,-1110,-1290,-1470
Wainwright,AB,-110.87,52.82,5700,5660,-260,-460,-680,-880,-1080,-1250,-1420
Wetaskiwin,AB,-113.37,52.97,5500,5425,-250,-440,-650,-840,-1030,-1190,-1350
Whitecourt,AB,-115.68,54.15,5650,5670,-250,-450,-660,-850,-1040,-1210,-1370
Wimborne,AB,-113.58,51.87,5310,5340,-250,-440,-650,-830,-1010,-1170,-1330
Assiniboia,SK,-105.98,49.63,5180,5225,-230,-410,-610,-790,-980,-1120,-1260
Battrum,SK,-108.33,50.55,5080,5095,-220,-390,-590,-760,-940,-1090,-1230
Biggar,SK,-108,52.07,5720,5640,-250,-450,-670,-880,-1090,-1250,-1420
Broadview,SK,-102.58,50.37,5760,5690,-250,-450,-680,-890,-1110,-1280,-1460
Dafoe,SK,-104.53,51.75,5860,5910,-270,-470,-710,-930,-1160,-1350,-1530
Dundurn,SK,-106.5,51.82,5600,5595,-260,-460,-690,-900,-1120,-1290,-1460
Estevan,SK,-102.98,49.13,5340,5335,-240,-420,-640,-830,-1040,-1190,-1340
Hudson Bay,SK,-102.38,52.85,6280,6165,-260,-460,-700,-910,-1140,-1320,-1500
Humboldt,SK,-105.12,52.2,6000,5980,-270,-480,-720,-940,-1170,-1350,-1540
Island Falls,SK,-102.35,55.53,7100,6940,-290,-510,-760,-1000,-1250,-1470,-1680
Kamsack,SK,-101.9,51.57,6040,6135,-270,-470,-710,-930,-1150,-1330,-1510
Kindersley,SK,-109.17,51.47,5550,5420,-230,-410,-610,-790,-980,-1140,-1290
Lloydminster,SK,-110,53.28,5880,5895,-270,-480,-710,-920,-1140,-1320,-1500
Maple Creek,SK,-109.48,49.92,4780,4870,-210,-380,-560,-730,-900,-1030,-1160
Meadow Lake,SK,-108.43,54.13,6280,6130,-260,-470,-700,-910,-1120,-1310,-1490
Melfort,SK,-104.62,52.87,6050,6150,-270,-480,-730,-950,-1180,-1380,-1570
Melville,SK,-102.8,50.92,5880,5855,-270,-470,-710,-930,-1160,-1340,-1520
Moose Jaw,SK,-105.53,50.4,5270,5350,-240,-430,-640,-840,-1040,-1190,-1350
Nipawin,SK,-104,53.37,6300,6195,-270,-470,-710,-930,-1160,-1360,-1550
North Battleford,SK,-108.28,52.78,5900,5915,-270,-470,-700,-920,-1140,-1320,-1500
Prince Albert,SK,-105.77,53.2,6100,6105,-270,-470,-710,-930,-1150,-1340,-1520
Qu'Appelle,SK,-103.88,50.55,5620,5680,-260,-460,-700,-910,-1130,-1310,-1480
Regina,SK,-104.62,50.45,5600,5555,-250,-440,-670,-870,-1090,-1250,-1420
Rosetown,SK,-108,51.55,5620,5495,-240,-430,-640,-830,-1030,-1190,-1340
Saskatoon,SK,-106.63,52.12,5700,5620,-260,-460,-690,-900,-1120,-1300,-1470
Scott,SK,-108.83,52.37,5960,5810,-250,-460,-680,-880,-1090,-1260,-1430
Strasbourg,SK,-104.95,51.07,5600,5630,-260,-460,-700,-920,-1140,-1320,-1490
Swift Current,SK,-107.8,50.28,5150,5155,-230,-400,-600,-770,-960,-1100,-1250
Uranium City,SK,-108.62,59.57,7500,7715,-320,-570,-830,-1100,-1380,-1620,-1860
Weyburn,SK,-103.85,49.67,5400,5375,-240,-440,-660,-850,-1060,-1220,-1380
Yorkton,SK,-102.47,51.22,6000,5980,-260,-470,-710,-930,-1150,-1330,-1520
Beausejour,MB,-96.517,50.067,5680,5650,-270,-470,-700,-920,-1150,-1330,-1510
Boissevain,MB,-100.05,49.233,5500,5510,-260,-460,-690,-890,-1110,-1290,-1460
Brandon,MB,-99.95,49.833,5760,5705,-260,-460,-680,-890,-1120,-1290,-1460
Churchill,MB,-94.12,58.75,8950,8775,-430,-760,-1110,-1480,-1870,-2190,-2520
Dauphin,MB,-100.05,51.15,5900,5900,-250,-450,-670,-880,-1100,-1270,-1440
Flin Flon,MB,-101.88,54.77,6440,6580,-280,-490,-730,-960,-1200,-1400,-1600
Gimli,MB,-96.99,50.64,5800,5830,-270,-480,-720,-940,-1180,-1370,-1560
Island Lake,MB,-94.667,53.867,6900,6915,-300,-520,-780,-1030,-1300,-1520,-1730
Lac du Bonnet,MB,-96.06,50.27,5730,5690,-260,-470,-700,-910,-1140,-1320,-1500
Lynn Lake,MB,-101.05,56.85,7770,7615,-320,-550,-820,-1080,-1360,-1600,-1840
Morden,MB,-98.1,49.183,5400,5415,-260,-450,-680,-890,-1100,-1280,-1450
Neepawa,MB,-99.467,50.233,5760,5750,-260,-460,-690,-910,-1130,-1310,-1490
Pine Falls,MB,-96.217,50.567,5900,5745,-260,-460,-690,-910,-1130,-1310,-1490
Portage la Prairie,MB,-98.29,50,5600,5595,-260,-470,-700,-920,-1140,-1320,-1500
Rivers,MB,-100.233,50.033,5840,5815,-260,-460,-690,-900,-1130,-1310,-1490
Sandilands,MB,-96.3,49.36,5650,5540,-260,-460,-680,-890,-1110,-1280,-1460
Selkirk,MB,-96.867,50.15,5700,5600,-270,-490,-730,-950,-1180,-1370,-1560
Split Lake,MB,-96.1,56.25,7900,7755,-340,-600,-880,-1170,-1470,-1720,-1980
Steinbach,MB,-96.683,49.533,5700,5615,-270,-470,-710,-920,-1150,-1330,-1520
Swan River,MB,-101.27,52.14,6100,6095,-260,-460,-680,-900,-1110,-1300,-1480
The Pas,MB,-101.25,53.87,6480,6360,-270,-480,-710,-940,-1180,-1370,-1570
Thompson,MB,-97.86,55.79,7600,7420,-330,-570,-840,-1110,-1400,-1630,-1870
Virden,MB,-100.93,49.86,5620,5665,-250,-450,-680,-890,-1110,-1280,-1460
Winnipeg,MB,-97.15,49.89,5670,5530,-270,-490,-730,-950,-1180,-1370,-1560
Ailsa Craig,ON,-81.55,43.13,3840,3850,-230,-390,-560,-720,-890,-1030,-1170
Ajax,ON,-79.03,43.85,3820,3915,-240,-410,-580,-750,-930,-1070,-1210
Alexandria,ON,-74.63,45.32,4600,4580,-260,-440,-630,-820,-1020,-1170,-1330
Alliston,ON,-79.87,44.15,4200,4135,-260,-440,-620,-800,-1000,-1150,-1310
Almonte,ON,-76.2,45.23,4620,4555,-250,-430,-610,-790,-980,-1130,-1280
Armstrong,ON,-89.03,50.3,6500,6300,-300,-520,-770,-1020,-1270,-1480,-1690
Arnprior,ON,-76.35,45.43,4680,4670,-260,-440,-630,-820,-1020,-1170,-1330
Atikokan,ON,-91.62,48.75,5750,5740,-260,-470,-690,-900,-1130,-1310,-1490
Attawapiskat,ON,-82.43,52.93,7100,7270,-380,-660,-980,-1290,-1630,-1890,-2150
Aurora,ON,-79.47,44,4210,4150,-250,-430,-610,-780,-970,-1120,-1270
Bancroft,ON,-77.85,45.05,4740,4785,-260,-450,-640,-830,-1030,-1190,-1350
Barrie,ON,-79.67,44.4,4380,4245,-260,-440,-630,-820,-1010,-1160,-1310
Barriefield,ON,-76.47,44.23,3990,4085,-240,-410,-580,-750,-940,-1080,-1220
Beaverton,ON,-79.15,44.43,4300,4295,-260,-440,-630,-810,-1010,-1160,-1310
Belleville,ON,-77.383,44.167,3910,4010,-230,-400,-570,-740,-920,-1070,-1210
Belmont,ON,-81.08,42.88,3840,3830,-230,-390,-560,-710,-890,-1030,-1160
Bowmanville,ON,-78.68,43.91,4000,4000,-230,-390,-560,-730,-900,-1040,-1190
Bracebridge,ON,-79.3,45.03,4800,4745,-260,-440,-640,-830,-1030,-1190,-1350
Bradford,ON,-79.57,44.12,4280,4245,-260,-440,-620,-800,-990,-1140,-1290
Brampton,ON,-79.77,43.68,4100,4055,-250,-420,-600,-770,-960,-1100,-1240
Brantford,ON,-80.27,43.13,3900,3905,-230,-400,-560,-720,-900,-1040,-1180
Brighton,ON,-77.73,44.03,4000,3985,-250,-420,-590,-770,-950,-1100,-1240
Brockville,ON,-75.68,44.59,4060,4195,-240,-400,-570,-740,-920,-1060,-1200
Burk's Falls,ON,-79.4,45.62,5020,4930,-260,-450,-650,-840,-1050,-1210,-1370
Burlington,ON,-79.8,43.32,3740,3800,-230,-400,-560,-720,-900,-1040,-1180
Cambridge,ON,-80.32,43.38,4100,4080,-240,-420,-590,-760,-950,-1100,-1240
Campbellford,ON,-77.8,44.3,4280,4190,-250,-430,-610,-790,-990,-1130,-1280
Cannington,ON,-79.03,44.35,4310,4310,-260,-440,-630,-820,-1010,-1160,-1310
Carleton Place,ON,-76.15,45.13,4600,4495,-250,-430,-610,-790,-980,-1130,-1280
Cavan,ON,-78.47,44.2,4400,4240,-260,-440,-630,-810,-1000,-1150,-1300
Centralia,ON,-81.47,43.28,3800,3910,-230,-390,-560,-730,-910,-1050,-1190
CFB Borden,ON,-79.88,44.27,4300,4280,-260,-440,-630,-810,-1010,-1160,-1310
Chapleau,ON,-83.4,47.83,5900,5805,-290,-510,-740,-970,-1220,-1410,-1600
Chatham,ON,-82.18,42.4,3470,3490,-200,-340,-490,-630,-790,-910,-1040
Chesley,ON,-81.08,44.28,4320,4305,-250,-430,-610,-790,-990,-1140,-1290
Clinton,ON,-81.53,43.62,4150,3945,-240,-410,-580,-750,-940,-1080,-1220
Coboconk,ON,-78.8,44.65,4500,4515,-250,-430,-620,-800,-1000,-1150,-1300
Cobourg,ON,-78.17,43.97,3980,4005,-250,-420,-600,-770,-950,-1100,-1240
Cochrane,ON,-81.02,49.07,6200,6260,-310,-540,-790,-1030,-1290,-1500,-1700
Colborne,ON,-77.88,44,3980,3945,-240,-410,-590,-760,-940,-1080,-1230
Collingwood,ON,-80.22,44.48,4180,4030,-250,-440,-620,-810,-1000,-1160,-1320
Cornwall,ON,-74.73,45.03,4250,4360,-240,-420,-600,-780,-960,-1110,-1260
Corunna,ON,-82.43,42.88,3600,3595,-210,-360,-520,-670,-830,-960,-1090
Deep River,ON,-77.5,46.1,4900,5010,-260,-450,-650,-850,-1060,-1220,-1390
Deseronto,ON,-77.05,44.2,4070,4070,-230,-400,-570,-740,-910,-1050,-1190
Dorchester,ON,-81.07,42.98,3900,3865,-230,-390,-560,-730,-900,-1040,-1180
Dorion,ON,-88.53,48.78,5950,5790,-280,-490,-720,-950,-1180,-1380,-1570
Dresden,ON,-82.18,42.58,3750,3600,-200,-350,-500,-640,-800,-920,-1050
Dryden,ON,-92.75,49.78,5850,5795,-270,-470,-700,-910,-1140,-1320,-1510
Dundalk,ON,-80.394,44.17,4700,4585,-270,-450,-650,-840,-1040,-1200,-1360
Dunnville,ON,-79.62,42.9,3660,3640,-220,-380,-530,-690,-850,-990,-1120
Durham,ON,-80.82,44.17,4340,4420,-260,-440,-630,-810,-1010,-1160,-1310
Dutton,ON,-81.5,42.67,3700,3695,-220,-370,-530,-680,-850,-990,-1120
Earlton,ON,-79.82,47.72,5730,5755,-290,-500,-730,-960,-1200,-1380,-1570
Edison,ON,-93.55,49.8,5740,5705,-260,-460,-680,-880,-1100,-1280,-1460
Elliot Lake ,ON,-82.657,46.381,4950,5015,-270,-460,-670,-880,-1090,-1260,-1420
Elmvale,ON,-79.87,44.58,4200,4340,-250,-420,-610,-790,-980,-1130,-1290
Embro,ON,-80.9,43.15,3950,3970,-240,-410,-580,-750,-930,-1070,-1210
Englehart,ON,-79.87,47.82,5800,5810,-290,-500,-730,-970,-1210,-1390,-1580
Espanola,ON,-81.77,46.25,4920,4920,-270,-470,-680,-890,-1110,-1270,-1440
Exeter,ON,-81.48,43.35,3900,3900,-230,-400,-570,-730,-910,-1050,-1190
Fenelon Falls,ON,-78.75,44.53,4440,4460,-250,-430,-620,-800,-990,-1140,-1290
Fergus,ON,-80.37,43.7,4300,4290,-260,-440,-620,-810,-1000,-1150,-1310
Forest,ON,-82,43.1,3740,3710,-210,-370,-520,-680,-850,-980,-1110
Fort Erie,ON,-78.93,42.9,3650,3680,-210,-360,-510,-650,-820,-950,-1070
Fort Erie (Ridgeway),ON,-79.05,42.88,3600,3655,-210,-360,-510,-660,-820,-950,-1080
Fort Frances,ON,-93.39,48.61,5440,5420,-250,-450,-660,-870,-1080,-1250,-1420
Gananoque,ON,-76.17,44.33,4010,4105,-240,-410,-580,-750,-930,-1070,-1210
Geraldton,ON,-86.95,49.73,6450,6305,-300,-530,-780,-1030,-1290,-1490,-1700
Glencoe,ON,-81.72,42.75,3680,3685,-220,-370,-530,-680,-850,-980,-1110
Goderich,ON,-81.72,43.75,4000,3920,-240,-410,-580,-750,-930,-1070,-1210
Gore Bay,ON,-82.47,45.92,4700,4710,-250,-440,-640,-830,-1030,-1190,-1350
